industrial_risk,management_risk,financial_flexibility,credibility,competitiveness,operating_risk,class,total_risk_score,stability_score
0.5,1.0,0.0,0.0,0.0,0.5,1,2.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1,2.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0
0.5,0.0,0.0,0.5,0.0,1.0,1,1.5,0.5
1.0,1.0,0.0,0.0,0.0,1.0,1,3.0,0.0
1.0,1.0,0.0,0.5,0.0,0.5,1,2.5,0.5
1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,0.0
1.0,1.0,0.0,0.0,0.0,0.5,1,2.5,0.0
1.0,1.0,0.0,0.5,0.0,0.0,1,2.0,0.5
1.0,1.0,0.0,0.5,0.0,1.0,1,3.0,0.5
1.0,1.0,0.5,0.0,0.0,1.0,1,3.0,0.5
0.5,1.0,0.0,0.0,0.0,1.0,1,2.5,0.0
0.0,1.0,0.0,0.0,0.5,0.5,1,1.5,0.5
0.5,0.5,0.0,0.0,0.0,0.0,1,1.0,0.0
0.0,0.5,0.0,0.0,0.0,0.5,1,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0
0.0,0.5,0.0,0.0,0.0,1.0,1,1.5,0.0
1.0,0.5,0.0,0.0,0.0,0.0,1,1.5,0.0
0.5,0.5,0.0,0.0,0.0,1.0,1,2.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0
0.5,0.0,0.0,0.0,0.0,1.0,1,1.5,0.0
1.0,0.5,0.0,0.0,0.0,1.0,1,2.5,0.0
1.0,1.0,0.0,1.0,0.0,0.0,1,2.0,1.0
1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,1.0
1.0,0.5,1.0,0.5,0.0,0.0,1,1.5,1.5
0.0,0.0,0.5,0.5,0.5,0.0,0,0.0,1.5
1.0,1.0,0.5,0.5,0.5,1.0,0,3.0,1.5
0.5,0.5,0.5,0.5,0.5,0.5,0,1.5,1.5
0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,0,3.0,3.0
0.5,0.5,1.0,1.0,1.0,0.5,0,1.5,3.0
0.0,0.0,0.5,1.0,1.0,0.0,0,0.0,2.5
0.0,0.0,1.0,0.5,0.5,0.0,0,0.0,2.0
0.0,0.0,0.5,1.0,0.5,0.0,0,0.0,2.0
0.0,0.0,0.5,0.5,1.0,0.0,0,0.0,2.0
0.0,0.0,1.0,1.0,0.5,0.0,0,0.0,2.5
0.0,0.0,1.0,0.5,1.0,0.0,0,0.0,2.5
1.0,1.0,0.5,1.0,1.0,1.0,0,3.0,2.5
1.0,1.0,1.0,0.5,0.5,1.0,0,3.0,2.0
1.0,1.0,0.5,1.0,0.5,1.0,0,3.0,2.0
1.0,1.0,0.5,0.5,1.0,1.0,0,3.0,2.0
1.0,1.0,1.0,1.0,0.5,1.0,0,3.0,2.5
1.0,1.0,1.0,0.5,1.0,1.0,0,3.0,2.5
0.5,0.5,0.5,1.0,1.0,0.5,0,1.5,2.5
0.5,0.5,1.0,0.5,0.5,0.5,0,1.5,2.0
0.5,0.5,0.5,1.0,0.5,0.5,0,1.5,2.0
0.5,0.5,0.5,0.5,1.0,0.5,0,1.5,2.0
0.5,0.5,1.0,1.0,0.5,0.5,0,1.5,2.5
0.5,0.5,1.0,0.5,1.0,0.5,0,1.5,2.5
0.0,1.0,0.5,0.5,0.5,0.0,0,1.0,1.5
1.0,0.0,0.5,0.5,0.5,1.0,0,2.0,1.5
0.0,1.0,0.5,0.5,0.5,1.0,0,2.0,1.5
0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3.0
1.0,0.0,1.0,1.0,1.0,1.0,0,2.0,3.0
0.0,1.0,1.0,1.0,1.0,1.0,0,2.0,3.0
1.0,1.0,0.5,1.0,1.0,0.0,0,2.0,2.5
0.0,1.0,1.0,0.5,0.5,0.0,0,1.0,2.0
1.0,0.0,0.5,1.0,0.5,0.0,0,1.0,2.0
1.0,0.0,0.5,0.5,1.0,1.0,0,2.0,2.0
0.0,1.0,1.0,1.0,0.5,1.0,0,2.0,2.5
1.0,0.0,1.0,0.5,1.0,0.5,0,1.5,2.5
0.5,1.0,0.5,1.0,1.0,0.5,0,2.0,2.5
0.5,0.0,1.0,0.5,0.5,0.5,0,1.0,2.0
0.5,0.5,0.5,1.0,0.5,0.0,0,1.0,2.0
0.5,0.5,0.5,0.5,1.0,1.0,0,2.0,2.0
1.0,0.5,1.0,1.0,1.0,1.0,0,2.5,3.0
0.5,1.0,1.0,0.5,1.0,1.0,0,2.5,2.5
0.5,0.0,1.0,0.5,1.0,1.0,0,1.5,2.5
1.0,1.0,1.0,0.5,1.0,0.0,0,2.0,2.5
